iter	Passed	Remaining
0	349	34604
1	587	28793
2	839	27131
3	1067	25608
4	1314	24972
5	1572	24638
6	1806	23998
7	2033	23385
8	2271	22964
9	2505	22549
10	2732	22105
11	2964	21737
12	3205	21450
13	3422	21022
14	3669	20791
15	3885	20396
16	4115	20093
17	4334	19746
18	4583	19539
19	4794	19177
20	5035	18941
21	5243	18592
22	5452	18254
23	5684	18000
24	5902	17708
25	6116	17408
26	6325	17103
27	6575	16909
28	6792	16630
29	6997	16328
30	7205	16038
31	7410	15747
32	7632	15497
33	7856	15251
34	8071	14989
35	8287	14733
36	8507	14485
37	8724	14235
38	8946	13993
39	9157	13736
40	9364	13475
41	9587	13240
42	9820	13017
43	10025	12759
44	10248	12526
45	10456	12274
46	10670	12032
47	10884	11791
48	11098	11551
49	11316	11316
50	11539	11086
51	11758	10853
52	11965	10610
53	12172	10368
54	12379	10128
55	12607	9905
56	12814	9666
57	13024	9431
58	13251	9208
59	13462	8975
60	13675	8743
61	13882	8508
62	14086	8272
63	14295	8041
64	14518	7817
65	14733	7589
66	14945	7361
67	15157	7133
68	15376	6908
69	15617	6693
70	15837	6468
71	16054	6243
72	16258	6013
73	16473	5788
74	16704	5568
75	16917	5342
76	17144	5121
77	17378	4901
78	17618	4683
79	17834	4458
80	18051	4234
81	18273	4011
82	18495	3788
83	18725	3566
84	18933	3341
85	19140	3115
86	19358	2892
87	19583	2670
88	19819	2449
89	20031	2225
90	20239	2001
91	20449	1778
92	20669	1555
93	20907	1334
94	21123	1111
95	21348	889
96	21573	667
97	21791	444
98	21991	222
99	22236	0
